parameter,value,Omega
phi,-8.197478991596638,0.3958353517113482
phi,-8.115546218487395,0.39265496878659817
phi,-8.033613445378151,0.3894745858618457
phi,-7.951680672268908,0.38629420293709565
phi,-7.869747899159663,0.3831138200123432
phi,-7.78781512605042,0.37993343708759314
phi,-7.705882352941177,0.37675305416284066
phi,-7.623949579831932,0.3735726712380894
phi,-7.542016806722689,0.37039228831333815
phi,-7.4600840336134455,0.3672119053885881
phi,-7.378151260504202,0.36403152246383563
phi,-7.296218487394958,0.3608511395390844
phi,-7.214285714285714,0.3576707566143331
phi,-7.132352941176471,0.35449037368958314
phi,-7.050420168067227,0.3513099907648306
phi,-6.968487394957983,0.34812960784007935
phi,-6.88655462184874,0.3449492249153281
phi,-6.804621848739496,0.34176884199057683
phi,-6.722689075630252,0.3385884590658256
phi,-6.640756302521009,0.3354080761410743
phi,-6.5588235294117645,0.33222769321632306
phi,-6.476890756302521,0.3290473102915718
phi,-6.394957983193278,0.32586692736682055
phi,-6.313025210084033,0.3226865444420693
phi,-6.23109243697479,0.31950616151731803
phi,-6.149159663865547,0.3163257785925668
phi,-6.067226890756302,0.3131453956678155
phi,-5.985294117647059,0.30996501274306426
phi,-5.9033613445378155,0.30678462981831306
phi,-5.821428571428571,0.3036042468935618
phi,-5.739495798319328,0.30042386396881054
phi,-5.657563025210084,0.2972434810440593
phi,-5.57563025210084,0.29406309811930803
phi,-5.493697478991597,0.2908827151945568
phi,-5.411764705882353,0.2877023322698055
phi,-5.329831932773109,0.28452194934505426
phi,-5.2478991596638656,0.281341566420303
phi,-5.165966386554622,0.27816118349555174
phi,-5.084033613445378,0.2749808005708005
phi,-5.0021008403361344,0.27180041764604923
phi,-4.920168067226891,0.268620034721298
phi,-4.838235294117647,0.2654396517965467
phi,-4.756302521008403,0.26225926887179546
phi,-4.67436974789916,0.2590788859470442
phi,-4.592436974789916,0.25589850302229294
phi,-4.510504201680672,0.2527181200975417
phi,-4.428571428571429,0.2495377371727904
phi,-4.3466386554621845,0.24635735424803917
phi,-4.264705882352941,0.24317697132328792
phi,-4.182773109243698,0.23999658839853666
phi,-4.100840336134453,0.2368162054737854
phi,-4.01890756302521,0.23363582254903414
phi,-3.936974789915966,0.2304554396242829
phi,-3.8550420168067228,0.22727505669953163
phi,-3.773109243697479,0.22409467377478037
phi,-3.6911764705882355,0.22091429085002912
phi,-3.6092436974789917,0.21773390792527786
phi,-3.527310924369748,0.2145535250005266
phi,-3.4453781512605044,0.21137314207577534
phi,-3.3634453781512605,0.2081927591510241
phi,-3.2815126050420167,0.20501237622627283
phi,-3.1995798319327733,0.20183199330152157
phi,-3.1176470588235294,0.19865161037677032
phi,-3.0357142857142856,0.19547122745201906
phi,-2.953781512605042,0.1922908445272678
